"","Latitude","Longitude","OOBGK_pred","OOBGK_lower","OOBGK_upper","OOBW_pred","OOBW_lower","OOBW_upper","LSCP_pred","LSCP_lower","LSCP_upper"
"22788",-50.5575,139.4489,5.97043294269243,5.46465452556329,6.87140194416158,5.86612999999999,5.37656551088776,6.931336185567,5.86612999999999,5.24999596795367,6.70577171094352
"22789",-28.6278,-177.281,5.97744679352017,5.45605664251832,6.9592187983469,5.79060333333333,5.29362185185185,6.69996503546099,5.79060333333333,4.96941518072756,6.18992655972074
"22790",44.8069,129.9406,6.03130048959178,5.50991033858993,7.01307249441851,6.17301333333334,5.114961124498,7.68424560283688,6.17301333333334,6.28167854532645,7.86616009387212
"22791",24.8036,93.6505,5.99554143696391,5.47415128596206,6.97731344179064,5.72782333333333,5.23835010362694,6.73503934823091,5.72782333333333,5.22301074692041,7.01199064771721
"22792",30.6132,132.7337,5.95432713430409,5.44854871717495,6.85531284816765,5.81034333333332,5.34568403314916,6.33544749999999,5.81034333333332,5.1231894597777,6.69437221281906
"22793",-54.2906,-136.2603,5.94034862310828,5.43457020597914,6.84131762457742,5.93333666666666,5.41457927021695,6.9314243859649,5.93333666666666,5.22135506638675,6.27432398057255
"22794",22.0669,143.6108,5.98288114906528,5.46149099806343,6.96465315389201,5.95821333333333,5.45648852713178,7.01307892473118,5.95821333333333,4.71383971713102,6.24679193156369
"22795",-30.664,-71.6383,5.99747302655073,5.47608287554888,6.98021118067792,6.16031333333332,5.47673138121546,8.08070832369941,6.16031333333332,5.30058270032088,6.81450890583604
"22796",-57.6576,-147.9486,5.75380359395925,5.41112499597309,6.28521694875282,5.90157333333334,5.62779492424243,6.40063010989011,5.90157333333334,5.29748623252132,6.36460067719643
"22797",3.8965,126.8621,5.97649437557438,5.45510422457253,6.95923252970157,5.97864666666666,5.33301092783504,6.7702832128514,5.97864666666666,5.19870366771154,6.71960722598957
"22798",44.4761,141.0867,6.01268313684814,5.49129298584629,6.99445514167487,6.09646,5.4296980952381,7.1484013919414,6.09646,5.2636179713516,6.8146441211411
